"","atmnevek","cimek","lon","lat"
"4589","K&H Bank Zrt. - ATM","Kossuth Lajos utca 37/b, 1203 Budapest",19.103378,47.438147
"4590","CIB Bank Zrt. - ATM","Casalgrande tér 4., 2120 Dunakeszi",19.1397121,47.6343844
"4591","Dunakanyar Tksz. - ATM","Pesti út 93, 2131 Göd",19.1353726,47.7002601
"4592","Dunakanyar Tksz. - Fiók","Pesti út 93, 2131 Göd-Alsó",19.1353726,47.7002601
"4593","Magyar Posta Zrt. - Fiók","Barátság út 27., 2120 Dunakeszi",19.1254802,47.6424301
"4594","BUDAPEST Bank Zrt. - ATM","Nagy Lajos király utca 146., 1149 Budapest",19.111054,47.519472
"4595","BUDAPEST Bank Zrt. - Fiók","Nagy Lajos király útja 146., 1149 Budapest",19.111054,47.519472
"4596","OTP Bank Nyrt. - ATM","Kerepesi út 47-49, 1101 Budapest",19.1088664,47.4999781
"4597","Magyar Posta Zrt. - Fiók","Zilah utca 13., 1201 Budapest",19.1022092,47.434637
"4598","OTP Bank Nyrt. - ATM","Megyeri út 236, 1044 Budapest",19.1193236,47.5935995
"4599","Bank of China (Hungária) ZRt. - Fiók","Hungária körút 40-44 földszint, 1087 Budapest",19.1079909,47.499443
"4600","Euronet Banktechikai Kft. - ATM","Hungária körút 44, 1087 Budapest",19.1079909,47.499443
"4601","OTP Bank Nyrt. - Fiók","Barátság útja 29, 2120 Dunakeszi",19.1254802,47.6424301
"4602","OTP Bank Nyrt. - ATM","Barátság utca 29, 2120 Dunakeszi",19.1254802,47.6424301
"4603","OTP Bank Nyrt. - ATM","Nagysándor J. utca 1-5, 1201 Budapest",19.1012999,47.431508
"4604","OTP Bank Nyrt. - ATM","Kossuth tér 1, 1201 Budapest",19.101676,47.4365809
"4605","OTP Bank Nyrt. - ATM","Homoktövis utca 1, 1046 Budapest",19.118134,47.5906628
"4606","OTP Bank Nyrt. - ATM","Hungária krt. 46, 1143 Budapest",19.1076093,47.5009851
"4607","OTP Bank Nyrt. - ATM","Hungária krt. 46-48, 1143 Budapest",19.1076093,47.5009851
"4608","Magyar Posta Zrt. - Fiók","Hungária körút 48-52., 1146 Budapest",19.1076093,47.5009851
"4609","CIB Bank Zrt. - Fiók","Kossuth Lajos utca 21-29., 1203 Budapest",19.0997595,47.4358758
"4610","Euronet Banktechikai Kft. - ATM","Külső Szilágyi út 46, 1048 Budapest",19.1152714,47.5849855
"4611","MKB Zrt. - ATM","Deákvári fasor 18, 2600 Vác",19.1484454,47.7758237
"4612","OTP Bank Nyrt. - ATM","Táblás utca 32, 1097 Budapest",19.102733,47.459022
"4613","OTP Bank Nyrt. - ATM","Széchenyi utca 2, 1203 Budapest",19.1007613,47.4399867
"4614","OTP Bank Nyrt. - ATM","Pétervárad utca 3, 1145 Budapest",19.10825,47.517918
"4615","Magyar Posta Zrt. - Fiók","Petőfi út 45., 2653 Bánk",19.1751547,47.924614
"4616","OTP Bank Nyrt. - ATM","Bíró Mihály út 7, 1203 Budapest",19.1003779,47.4381821
"4617","CIB Bank Zrt. - ATM","Kossuth Lajos utca 21-29., 1203 Budapest",19.0997595,47.4358758
"4618","Raiffeisen Bank Zrt. - Fiók","Kossuth Lajos utca 21-29, 1203 Budapest",19.0997595,47.4358758
"4619","Raiffeisen Bank Zrt. - ATM","Kossuth Lajos utca 21-29, 1203 Budapest",19.0997595,47.4358758
"4620","Erste Bank Hungary Zrt. - Fiók","Kossuth Lajos utca 21-29, 1203 Budapest",19.0997595,47.4358758
"4621","K&H Bank Zrt. - Fiók","Róna utca 147, 1145 Budapest",19.1076111,47.5172744
"4622","K&H Bank Zrt. - ATM","Róna utca 147., 1145 Budapest",19.1076111,47.5172744
"4623","Erste Bank Hungary Zrt. - ATM","Kossuth Lajos utca 21-29., 1203 Budapest",19.0997595,47.4358758
"4624","MagNet Bank Zrt. - Fiók","Kossuth Lajos utca 21-29., 1203 Budapest",19.0997595,47.4358758
"4625","MagNet Bank Zrt. - ATM","Kossuth Lajos utca 21-29., 1203 Budapest",19.0997595,47.4358758
"4626","Erste Bank Hungary Zrt. - ATM","Óceán-árok utca 3-5, 1048 Budapest",19.1144882,47.5787092
"4627","Magyar Posta Zrt. - Fiók","Galopp utca 8., 1048 Budapest",19.114556,47.580706
"4628","OTP Bank Nyrt. - Fiók","Bíró Mihály utca 7, 1203 Budapest",19.1003779,47.4381821
"4629","OTP Bank Nyrt. - ATM","Argenti tér 1-3, 2600 Vác",19.1459042,47.7833855
"4630","OTP Bank Nyrt. - ATM","Stefánia út 2, 1148 Budapest",19.105671,47.502565
"4631","OTP Bank Nyrt. - ATM","Stefánia út 2, 1148 Budapest",19.105671,47.502565
"4632","Magyar Posta Zrt. - Fiók","Gyáli út 17-19, 1097 Budapest",19.101388,47.467397
"4633","OTP Bank Nyrt. - ATM","Könyves K. krt. 76, 1087 Budapest",19.10342,47.482562
"4634","OTP Bank Nyrt. - ATM","Könyves K. krt. 76-1 6 ép, 1087 Budapest",19.10342,47.482562
"4635","FHB Bank Zrt - ATM","Lechner Ödön fasor 8, 1095 Budapest",19.0711587,47.4728996
"4636","Magyar Posta Zrt. - Fiók","Baktay Ervin tér 2., 2330 Dunaharaszti",19.088157,47.3470745
"4637","OTP Bank Nyrt. - ATM","Könyves Kálmán krt. 54-60, 1087 Budapest",19.101826,47.480134
"4638","FHB Bank Zrt - Fiók","Könyves Kálmán körút 48-52, 1087 Budapest",19.101334,47.479504
"4639","FHB Bank Zrt - ATM","Könyves Kálmán körút 48-52, 1087 Budapest",19.101334,47.479504
"4640","Magyar Posta Zrt. - Fiók","Nádas utca 6., 2120 Dunakeszi",19.1119724,47.6062797
"4641","K&H Bank Zrt. - Fiók","Dózsa György út 47, 2330 Dunaharaszti",19.0911565,47.3539794
"4642","Magyar Posta Zrt. - Fiók","Szent István út 230., 1213 Budapest",19.0947746,47.4012185
"4643","OTP Bank Nyrt. - ATM","Kordován tér 4, 1048 Budapest",19.1134877,47.5872073
"4644","OTP Bank Nyrt. - Fiók","Kordován tér 4, 1048 Budapest",19.1134877,47.5872073
"4645","Erste Bank Hungary Zrt. - ATM","Nádas utca 6., 2120 Dunakeszi",19.1119724,47.6062797
"4646","OTP Bank Nyrt. - ATM","Dózsa Gy. út 0, 1134 Budapest",19.0722632,47.51865
"4647","Magyar Posta Zrt. - Fiók","Nagy Lajos király útja 173., 1149 Budapest",19.105612,47.521652
"4648","OTP Bank Nyrt. - Fiók","Nádas utca 6, 2120 Dunakeszi",19.1119724,47.6062797
"4649","Erste Bank Hungary Zrt. - ATM","Nagy Lajos király út 173., 1149 Budapest",19.105612,47.521652
"4650","UniCredit Bank Zrt. - ATM","Stróbl Alajos utca 3/b. fsz., 1087 Budapest",19.100874,47.497179
"4651","OTP Bank Nyrt. - ATM","Nádas utca 7, 2120 Dunakeszi",19.1158841,47.6114824
"4652","OTP Bank Nyrt. - ATM","Topánka utca 4, 1203 Budapest",19.096558,47.436178
"4653","OTP Bank Nyrt. - Fiók","Könyves Kálmán krt. 76-1 sz, 1087 Budapest",19.10342,47.482562
"4654","Szabadszállás és Vidéke Takarékszövetkezet - Fiók","Kálvin tér 2, 6080 Szabadszállás",19.2221923,46.8744527
"4655","Szabadszállás és Vidéke Takarékszövetkezet - ATM","Kálvin tér 2, 6080 Szabadszállás",19.2221923,46.8744527
"4656","B3 Takarék - ATM","Baktay tér 5, 2330 Dunaharaszti",19.089795,47.349181
"4657","B3 Takarék - Fiók","Baktay tér 5, 2330 Dunaharaszti",19.089795,47.349181
"4658","Magyar Posta Zrt. - Fiók","Amerikai út 25., 1145 Budapest",19.10352,47.513962
